600	101.010354093132
595	100.989407629891
590	100.98542487502
585	100.993767362111
580	100.911539853206
575	100.938514041696
570	100.977173117397
565	100.958938293572
560	101.006185530191
555	100.92454482117
550	100.892685198682
545	100.890412793892
540	100.867253575399
535	100.838289083386
530	100.860230696794
525	100.856952150507
520	100.819370478651
515	100.83092346168
510	100.798980730674
505	100.828527790134
500	100.79616843373
495	100.799734127903
490	100.775554474549
485	100.751970846009
480	100.718710246081
475	100.72274978033
470	100.723082987962
465	100.635016424597
460	100.575258194046
455	100.602458229243
450	100.62060817192
445	100.609677981258
440	100.610595914798
435	100.599505576854
430	100.563402699442
425	100.457270989059
420	100.539085639072
415	100.495273957208
410	100.49157769374
405	100.500585001175
400	100.451853472818
395	100.461032158757
390	100.476938859585
385	100.528290515523
380	100.493320341192
375	100.458578695975
370	100.421273337836
365	100.370384349763
360	100.352048638897
355	100.340418541038
350	100.308379943569
345	100.257109065077
340	100.237159419721
335	100.198580415052
330	100.189070570525
325	100.258641309249
320	100.252354382946
315	100.23139705183
310	100.179287775024
305	100.12498560712
300	100.091741477337
295	99.8996952372963
290	99.7942870085737
285	99.7448333096093
280	99.7904037525283
275	99.6485958676262
270	99.5876829440026
265	99.5308866019228
260	99.3546955520843
255	99.2361459820781
250	99.1573326960718
245	99.2096939629557
240	99.2319281764295
